,precision,recall,f1-score,support
False,0.12966899483753416,1.0,0.22956989247311826,427.0
True,1.0,0.1903954802259887,0.31988609397247275,3540.0
accuracy,0.2775397025460045,0.2775397025460045,0.2775397025460045,0.2775397025460045
macro avg,0.5648344974187671,0.5951977401129943,0.2747279932227955,3967.0
weighted avg,0.9063192994191145,0.2775397025460045,0.31016463744607387,3967.0
