,precision,recall,f1
count,22.0,22.0,22.0
mean,0.7844707183509526,0.598437447918068,0.6397256172101206
std,0.23390011300234817,0.1834814511106019,0.16705348058626612
min,0.0927318295739348,0.3118928852717249,0.1605206073752711
25%,0.7036174569890495,0.46199008580144707,0.5706309899389748
50%,0.8437944807953304,0.5702881912554618,0.6476543082853992
75%,0.9539700640350641,0.6874491633292975,0.7658944927304288
max,1.0,0.9670710571923744,0.9429657794676806
