value,precision,recall,f1
count,23.0,23.0,23.0
mean,0.7503632958139547,0.5724184284433693,0.6119114599401153
std,0.2810315862063209,0.2184169203811847,0.2107885206124679
min,0.0,0.0,0.0
25%,0.681156191369606,0.4548399987200791,0.5555746525883416
50%,0.7963400236127509,0.5584745762711865,0.6451319381255687
75%,0.9491622425221168,0.6854599360466922,0.7458694452309725
max,1.0,0.9670710571923744,0.9429657794676806
