,precision,recall,f1-score,support
False,0.0,0.0,0.0,194.0
True,0.9218372280419017,0.9913344887348353,0.9553235908141963,2308.0
accuracy,0.9144684252597922,0.9144684252597922,0.9144684252597922,0.9144684252597922
macro avg,0.46091861402095086,0.49566724436741766,0.47766179540709813,2502.0
weighted avg,0.8503598410554393,0.9144684252597922,0.8812497392482673,2502.0
