,precision,recall,f1-score
mean_true_class,0.9842428124748837,0.5416496014446716,0.6536350970741284
mean_false_class,0.36442072173812373,0.9674498908462711,0.470150013368882
mean_weighted,0.905112435355818,0.6049881949014599,0.6432005551371849
