,precision,recall,f1-score,support
False,0.2390488110137672,1.0,0.38585858585858585,3438.0
True,1.0,0.3643122676579926,0.5340599455040872,17216.0
accuracy,0.47012685194151255,0.47012685194151255,0.47012685194151255,0.47012685194151255
macro avg,0.6195244055068836,0.6821561338289963,0.4599592656813365,20654.0
weighted avg,0.8733344539684967,0.47012685194151255,0.5093908124324674,20654.0
