value,precision,recall,f1
count,23.0,23.0,23.0
mean,0.7675457425498599,0.4864502173942624,0.5494689244867
std,0.2718615097738093,0.236943981675345,0.2142494180023037
min,0.0,0.0,0.0
25%,0.6635763386396527,0.3456531650118026,0.4587906789691842
50%,0.8016260162601626,0.4047619047619047,0.5180976103370436
75%,0.9694985641449794,0.6412034191218321,0.6884614864499379
max,1.0,0.9519064124783362,0.9350925728878484
