,precision,recall,f1-score,support
False,0.35978835978835977,0.6601941747572816,0.46575342465753433,103.0
True,0.5333333333333333,0.2484472049689441,0.33898305084745767,161.0
accuracy,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091
macro avg,0.44656084656084655,0.45432068986311286,0.40236823775249597,264.0
weighted avg,0.46562449895783226,0.4090909090909091,0.38844270426578303,264.0
