,precision,recall,f1
count,27.0,27.0,27.0
mean,0.9131831227626123,0.6037791844894062,0.6225031360124967
std,0.2685045617023232,0.31645275743386503,0.3162878322742311
min,0.0,0.06911928651059086,0.0
25%,1.0,0.33878391369618444,0.3810113257886012
50%,1.0,0.6497444237918215,0.6923076923076924
75%,1.0,0.9197810571069999,0.864892937438297
max,1.0,1.0,1.0
