,precision,recall,f1-score,support
False,0.14115028698606066,0.7009889470622455,0.23498439937597504,3438.0
True,0.7128491620111732,0.14823420074349442,0.24543181381034812,17216.0
accuracy,0.24024402052871113,0.24024402052871113,0.24024402052871113,0.24024402052871113
macro avg,0.42699972449861695,0.42461157390286997,0.24020810659316158,20654.0
weighted avg,0.6176859620336224,0.24024402052871113,0.24369277000162468,20654.0
