video,precision,recall,f1
Robbery102_x264.mp4,1.0,0.29105003523608175,0.4508733624454148
VIRAT_S_000001_resized.mp4_0.1,1.0,0.18227230483271376,0.30834234057187776
Stealing101_x264.mp4_0.0,1.0,0.26262626262626265,0.4160000000000001
Stealing112_x264.mp4_1.7000000000000002,1.0,0.28098765432098766,0.4387047031611411
Robbery106_x264.mp4,1.0,0.16228467815049863,0.2792511700468019
Stealing036_x264.mp4,1.0,0.8973136915077989,0.9458780543503083
Stealing108_x264.mp4,1.0,0.004034291477559254,0.00803616273229533
VIRAT_S_000207_02_000498_000530_resized.mp4,1.0,0.0033444816053511705,0.006666666666666666
Stealing107_x264.mp4,1.0,0.10584192439862543,0.19142324425108762
Robbery004_x264.mp4,1.0,0.1748768472906404,0.2976939203354298
VIRAT_S_050201_05_000890_000944_resized.mp4_0.1,1.0,0.016464471403812825,0.03239556692242114
Robbery046_x264.mp4,1.0,0.2413793103448276,0.3888888888888889
Robbery063_x264.mp4,0.9912087912087912,0.28012422360248446,0.43680387409200977
Stealing002_x264.mp4,1.0,0.14501257334450965,0.253294289897511
VIRAT_S_000206_09_001714_001851_resized.mp4,1.0,0.010238907849829351,0.02027027027027027
Burglary001_x264.mp4_0.0,1.0,0.1709039548022599,0.29191797346200243
Stealing012_x264.mp4,1.0,0.20867325032202663,0.34529307282415633
Stealing047_x264.mp4,0.9746835443037974,0.21359223300970873,0.35039817974971554
Robbery013_x264.mp4,1.0,0.3859338061465721,0.5569296375266525
Stealing097_x264.mp4,1.0,0.1942098914354644,0.32525252525252524
Robbery061_x264.mp4_77.7,1.0,0.2725988700564972,0.4284128745837958
