,precision,recall,f1-score,support
False,0.033483258370814596,1.0,0.06479690522243714,134.0
True,1.0,0.1138602520045819,0.20444261620732207,4365.0
accuracy,0.1402533896421427,0.1402533896421427,0.1402533896421427,0.1402533896421427
macro avg,0.5167416291854073,0.556930126002291,0.1346197607148796,4499.0
weighted avg,0.9712128821119558,0.1402533896421427,0.20028335297727662,4499.0
