,precision,recall,f1-score,support
False,0.04807692307692308,1.0,0.09174311926605505,45.0
True,1.0,0.006688963210702341,0.013289036544850499,897.0
accuracy,0.054140127388535034,0.054140127388535034,0.054140127388535034,0.054140127388535034
macro avg,0.5240384615384616,0.5033444816053512,0.05251607790545278,942.0
weighted avg,0.9545259676629103,0.054140127388535034,0.017036843044271097,942.0
