,precision,recall,f1
count,22.0,22.0,22.0
mean,0.8639303444120984,0.2510591358324566,0.3397577595814951
std,0.21736747056505784,0.2019927421596448,0.21917500174139104
min,0.1238532110091743,0.0144927536231884,0.0283224400871459
25%,0.794318783697527,0.12427624424434157,0.1973818840227482
50%,0.9758754174678677,0.1938800475983941,0.3188300882993925
75%,0.9993523316062176,0.378595778795076,0.4268836091337709
max,1.0,0.8661178509532063,0.9059596646272376
