value,precision,recall,f1
count,23.0,23.0,23.0
mean,0.8263681555246158,0.2401435212310454,0.3249856830779519
std,0.2784817186484313,0.2041737952316668,0.2255506108024357
min,0.0,0.0,0.0
25%,0.7492510525747598,0.1155647659138476,0.1921292002307799
50%,0.975609756097561,0.1935853379152348,0.3135328271549799
75%,0.9987046632124352,0.3555027759254958,0.40872700379033
max,1.0,0.8661178509532063,0.9059596646272376
