value,precision,recall,f1
count,23.0,23.0,23.0
mean,0.8228624940819274,0.2648697543814158,0.3471537409836325
std,0.2791369474933224,0.2189095626188318,0.2334977270420687
min,0.0,0.0,0.0
25%,0.73216325123365,0.1359677855594913,0.2019418061572995
50%,0.9767441860465116,0.2050400916380297,0.3387096774193548
75%,0.9965904717722168,0.3885393708675616,0.4240807232164397
max,1.0,0.8851819757365684,0.90759662372279
