,precision,recall,f1
count,22.0,22.0,22.0
mean,0.860265334722015,0.2769092886714801,0.36293345648288855
std,0.21890457816004746,0.21612670777148454,0.22609231580608413
min,0.1052631578947368,0.0210028878970858,0.0411416816662381
25%,0.7877670877199345,0.14348273038865583,0.23432123122220666
50%,0.9768950471150721,0.2067199394925927,0.33937763506226104
75%,0.9971104017628856,0.42007613704668395,0.4425726977278855
max,1.0,0.8851819757365684,0.90759662372279
