video,precision,recall,f1
Robbery102_x264.mp4,0.765282583621684,0.9351656095842142,0.8417380272756106
VIRAT_S_000001_resized.mp4_0.1,0.8165144714440489,0.6128601301115242,0.7001791757913597
Stealing101_x264.mp4_0.0,0.7286949361877316,0.9409888357256778,0.8213457076566125
Stealing112_x264.mp4_1.7000000000000002,0.9817112998040496,0.7422222222222222,0.8453318335208099
Robbery106_x264.mp4,0.9105769230769231,0.8585675430643699,0.8838077461502566
Stealing036_x264.mp4,0.9213300892133008,0.9844020797227037,0.9518223711772099
Stealing108_x264.mp4,1.0,0.5824508320726173,0.7361376673040154
VIRAT_S_000207_02_000498_000530_resized.mp4,0.9581464872944694,0.7146042363433668,0.818646232439336
Stealing107_x264.mp4,0.980590717299578,0.5324169530355097,0.6901262063845581
Robbery004_x264.mp4,0.7675507020280812,0.8078817733990148,0.7871999999999999
Robbery096_x264.mp4_88.5,0.10978520286396182,0.7419354838709677,0.19126819126819125
VIRAT_S_050201_05_000890_000944_resized.mp4_0.1,0.6718426501035196,0.5623916811091855,0.6122641509433963
Robbery098_x264.mp4_86.9,0.0,0.0,0.0
Robbery046_x264.mp4,0.3849624060150376,0.735632183908046,0.5054294175715697
Robbery063_x264.mp4,0.7988787666433076,0.7080745341614907,0.7507408626934475
Stealing002_x264.mp4,0.6556315221302627,0.7636211232187762,0.7055179090029041
VIRAT_S_000206_09_001714_001851_resized.mp4,1.0,0.5563139931740614,0.7149122807017543
Burglary001_x264.mp4_0.0,0.9339483394833948,0.7149717514124294,0.8099200000000001
Stealing012_x264.mp4,0.8707138842046094,0.665092314297982,0.7541382667964948
Stealing047_x264.mp4,0.4789915966386555,0.7905686546463245,0.5965463108320251
Robbery013_x264.mp4,0.9352640545144804,0.8111702127659575,0.8688083557524925
Stealing097_x264.mp4,0.7088262056414922,0.9396863691194209,0.8080912863070538
Robbery061_x264.mp4_77.7,1.0,0.6045197740112994,0.7535211267605634
