,precision,recall,f1
count,23.0,23.0,23.0
mean,0.755619253835156,0.7089364474337898,0.702064918536072
std,0.2762099428566727,0.20293221604033054,0.21763951261520045
min,0.0,0.0,0.0
25%,0.6903344278725059,0.6086899520614117,0.6951526910879589
50%,0.8165144714440489,0.735632183908046,0.7535211267605634
75%,0.9467052709044749,0.8095259930824861,0.8199959700479742
max,1.0,0.9844020797227037,0.9518223711772099
