,precision,recall,f1
count,27.0,27.0,27.0
mean,0.9125777296896513,0.5131190178940651,0.5426234708138296
std,0.2694762861228223,0.3249885283296413,0.31024054309122245
min,0.0,0.03121516164994426,0.0
25%,1.0,0.2778169264210721,0.33283824268392326
50%,1.0,0.4429600371747212,0.598876736624298
75%,1.0,0.7850481002674745,0.6988916846393483
max,1.0,1.0,1.0
