video,precision,recall,f1
Normal_Videos_934_x264.mp4,1.0,1.0,1.0
Robbery102_x264.mp4,1.0,0.38266384778012685,0.5535168195718654
VIRAT_S_000001_resized.mp4_0.1,1.0,0.4429600371747212,0.6139602286450366
Normal_Videos_869_x264.mp4,1.0,1.0,1.0
Stealing101_x264.mp4_0.0,1.0,0.6177565124933546,0.7637200131449228
Stealing112_x264.mp4_1.7000000000000002,1.0,0.3728395061728395,0.5431654676258992
Normal_Videos_926_x264.mp4,1.0,1.0,1.0
Robbery106_x264.mp4,0.9908256880733946,0.48957388939256574,0.6553398058252428
Stealing036_x264.mp4,1.0,0.9523396880415944,0.9755881047492232
Stealing108_x264.mp4,1.0,0.15279878971255673,0.2650918635170604
VIRAT_S_000207_02_000498_000530_resized.mp4,1.0,0.03121516164994426,0.06054054054054054
Normal_Videos_893_x264.mp4,0.0,1.0,0.0
Stealing107_x264.mp4,1.0,0.15967926689576173,0.27538522323192416
Robbery004_x264.mp4,1.0,0.5369458128078818,0.6987179487179488
VIRAT_S_050201_05_000890_000944_resized.mp4_0.1,1.0,0.05805892547660312,0.10974610974610975
Normal_Videos_003_x264.mp4,0.0,1.0,0.0
Robbery046_x264.mp4,1.0,0.5373563218390804,0.6990654205607476
Robbery063_x264.mp4,0.9922178988326849,0.4751552795031056,0.6425871482570349
Stealing002_x264.mp4,1.0,0.29631181894383907,0.4571613320400905
Normal_Videos_014_x264.mp4,1.0,1.0,1.0
VIRAT_S_000206_09_001714_001851_resized.mp4,1.0,0.09713835652402206,0.1770758554678153
Burglary001_x264.mp4_0.0,1.0,0.2593220338983051,0.41184387617765816
Stealing012_x264.mp4,0.961100569259962,0.43495062258480033,0.598876736624298
Stealing047_x264.mp4,0.6954545454545454,0.42441054091539526,0.5271317829457365
Robbery013_x264.mp4,1.0,0.45242316784869974,0.6229908443540182
Stealing097_x264.mp4,1.0,0.24246079613992763,0.39029126213592236
Robbery061_x264.mp4_77.7,1.0,0.4378531073446328,0.6090373280943026
