,precision,recall,f1-score,support
False,0.25223759153783565,1.0,0.40285899935022745,310.0
True,1.0,0.24548440065681446,0.3941990771259064,1218.0
accuracy,0.39856020942408377,0.39856020942408377,0.39856020942408377,0.39856020942408377
macro avg,0.6261187957689178,0.6227422003284072,0.39852903823806696,1528.0
weighted avg,0.8482942757701106,0.39856020942408377,0.39595599851958413,1528.0
