,precision,recall,f1
count,21.0,21.0,21.0
mean,0.9836163959328824,0.49057323720066526,0.6098849843970194
std,0.060136891165024096,0.26387763409194676,0.25026070439010556
min,0.726027397260274,0.06911928651059086,0.12930135557872785
25%,1.0,0.25331724969843183,0.40423484119345526
50%,1.0,0.4872931442080378,0.6552751837870058
75%,1.0,0.6775440103048519,0.7901852779168754
max,1.0,0.970103986135182,0.9848251594457885
