,precision,recall,f1
count,21.0,21.0,21.0
mean,0.9996549344375432,0.18754220557083284,0.2860559045327184
std,0.001581289059681111,0.18374252465471178,0.20828124958378097
min,0.9927536231884058,0.0011148272017837235,0.0022271714922048997
25%,1.0,0.09430008382229674,0.17234775947912678
50%,1.0,0.1640530759951749,0.2818652849740933
75%,1.0,0.22692036645525018,0.36990235496840895
max,1.0,0.8769497400346621,0.9344413665743305
