video,precision,recall,f1
Robbery102_x264.mp4,1.0,0.22692036645525018,0.36990235496840895
VIRAT_S_000001_resized.mp4_0.1,1.0,0.13115706319702602,0.231898942179316
Stealing101_x264.mp4_0.0,1.0,0.19404572036150983,0.3250222617987533
Stealing112_x264.mp4_1.7000000000000002,1.0,0.2553086419753086,0.4067663257277734
Robbery106_x264.mp4,1.0,0.13508612873980055,0.2380191693290735
Stealing036_x264.mp4,1.0,0.8769497400346621,0.9344413665743305
Stealing108_x264.mp4,1.0,0.0012607160867372667,0.0025182573659027953
VIRAT_S_000207_02_000498_000530_resized.mp4,1.0,0.0011148272017837235,0.0022271714922048997
Stealing107_x264.mp4,1.0,0.09324169530355098,0.1705783738474434
Robbery004_x264.mp4,1.0,0.16091954022988506,0.2772277227722772
VIRAT_S_050201_05_000890_000944_resized.mp4_0.1,1.0,0.009532062391681109,0.01888412017167382
Robbery046_x264.mp4,1.0,0.22126436781609196,0.3623529411764706
Robbery063_x264.mp4,0.9927536231884058,0.25527950310559006,0.4061264822134387
Stealing002_x264.mp4,1.0,0.09430008382229674,0.17234775947912678
VIRAT_S_000206_09_001714_001851_resized.mp4,1.0,0.005513258072985036,0.010966057441253263
Burglary001_x264.mp4_0.0,1.0,0.15056497175141242,0.26172354529830594
Stealing012_x264.mp4,1.0,0.18162301416917132,0.3074127906976744
Stealing047_x264.mp4,1.0,0.19833564493758668,0.33101851851851855
Robbery013_x264.mp4,1.0,0.3460401891252955,0.5141602634467618
Stealing097_x264.mp4,1.0,0.1640530759951749,0.2818652849740933
Robbery061_x264.mp4_77.7,1.0,0.23587570621468926,0.38171428571428573
