,precision,recall,f1
count,27.0,27.0,27.0
mean,0.9246626790930589,0.3890282838431301,0.39898988066781377
std,0.26656461090081474,0.37160793098591277,0.32805258449204217
min,0.0,0.0033444816053511705,0.0
25%,1.0,0.16659431647637926,0.2223587670742993
50%,1.0,0.2413793103448276,0.34529307282415633
75%,1.0,0.6416237488271855,0.444789032803278
max,1.0,1.0,1.0
