,precision,recall,f1
count,27.0,27.0,27.0
mean,0.9256575415995706,0.3680883821106477,0.3706360738958181
std,0.26680653317088765,0.38006251628449467,0.3326461211068824
min,0.0,0.0011148272017837235,0.0
25%,1.0,0.13312159596841328,0.1714630666632851
50%,1.0,0.19833564493758668,0.3074127906976744
75%,1.0,0.6114949645799788,0.40644640397060605
max,1.0,1.0,1.0
