,precision,recall,f1
count,22.0,22.0,22.0
mean,0.7927482108343699,0.7874113771603146,0.761778243747348
std,0.22427987987075804,0.12234785665123345,0.16007478387438806
min,0.1111111111111111,0.5935853379152348,0.1938144329896907
25%,0.7174869728948636,0.6885724805806376,0.7393551042848282
50%,0.8495626141585237,0.7787989479836352,0.7914909505532448
75%,0.951154628866933,0.8889178799969318,0.8494886794790597
max,1.0,0.9900346620450606,0.9546688949237518
