,precision,recall,f1
count,27.0,27.0,27.0
mean,0.9136703356286132,0.643505245568078,0.6565310014280257
std,0.26804564284157295,0.31100435687956435,0.31411408044096806
min,0.0,0.09698996655518395,0.0
25%,1.0,0.3705062724650859,0.41576575857998344
50%,1.0,0.7198335644937587,0.7309859154929578
75%,1.0,0.9478550369529273,0.9107733139762502
max,1.0,1.0,1.0
