,precision,recall,f1
count,21.0,21.0,21.0
mean,0.9858127308679174,0.318953262017587,0.4496479879969155
std,0.05615214789028573,0.20272511965966689,0.22340470282930322
min,0.7422360248447205,0.020066889632107024,0.03934426229508197
25%,1.0,0.23135593220338982,0.37577426015141085
50%,1.0,0.34360834088848596,0.5107816711590296
75%,1.0,0.38341543513957305,0.5543026706231453
max,1.0,0.938474870017331,0.9682610639248994
