,precision,recall,f1
count,22.0,22.0,22.0
mean,0.7860418063650338,0.6941383598890221,0.703816577003619
std,0.23056115096864685,0.15103847729182046,0.160437855345616
min,0.1019417475728155,0.4515620897873457,0.1772151898734177
25%,0.709789342813838,0.5707673897761227,0.6551278114799444
50%,0.8407869321682293,0.6750450811460629,0.7203106330000703
75%,0.950306212420592,0.7967204310679785,0.8050775740479548
max,1.0,0.9766031195840554,0.9478553406223718
