video,precision,recall,f1
Robbery102_x264.mp4,0.7617096018735363,0.9168428470754052,0.8321074512312121
VIRAT_S_000001_resized.mp4_0.1,0.8074263131895274,0.5696445167286245,0.6680062666030925
Stealing101_x264.mp4_0.0,0.7231352718078382,0.912280701754386,0.8067700987306065
Stealing112_x264.mp4_1.7000000000000002,0.9805760214333556,0.7229629629629629,0.8322910744741329
Robbery106_x264.mp4,0.9013785790031812,0.7706255666364461,0.83088954056696
Stealing036_x264.mp4,0.920751633986928,0.9766031195840554,0.9478553406223718
Stealing108_x264.mp4,1.0,0.567826525466465,0.7243486651656481
VIRAT_S_000207_02_000498_000530_resized.mp4,0.9519408502772644,0.5741360089186176,0.7162726008344924
Stealing107_x264.mp4,0.9824236817761332,0.4865979381443299,0.6508349931055616
Robbery004_x264.mp4,0.7682067345340642,0.8054187192118226,0.7863727454909819
Robbery096_x264.mp4_88.5,0.1019417475728155,0.6774193548387096,0.1772151898734177
VIRAT_S_050201_05_000890_000944_resized.mp4_0.1,0.6663019693654267,0.5277296360485269,0.5889748549323017
Robbery046_x264.mp4,0.3786259541984733,0.7126436781609196,0.4945164506480557
Robbery063_x264.mp4,0.785921625544267,0.6726708074534161,0.7248995983935743
Stealing002_x264.mp4,0.6499818643453029,0.7510477787091366,0.6968695314019056
VIRAT_S_000206_09_001714_001851_resized.mp4,1.0,0.4515620897873457,0.6221739916802315
Burglary001_x264.mp4_0.0,0.9454022988505748,0.6505649717514125,0.7707496653279786
Stealing012_x264.mp4,0.8741475511469312,0.605410047230571,0.7153729071537291
Stealing047_x264.mp4,0.4542829643888354,0.6546463245492372,0.5363636363636364
Robbery013_x264.mp4,0.9334243769204508,0.807919621749409,0.8661492159036908
Stealing097_x264.mp4,0.7053406998158379,0.9240048250904704,0.7999999999999999
Robbery061_x264.mp4_77.7,1.0,0.5324858757062146,0.6949308755760368
