value,precision,recall,f1
count,23.0,23.0,23.0
mean,0.7518660756535106,0.6639584311981949,0.6732158562643312
std,0.2785780043613544,0.2066996141243781,0.2147267707329097
min,0.0,0.0,0.0
25%,0.6858213345906323,0.5687355210975447,0.6365044923928965
50%,0.8074263131895274,0.6726708074534161,0.7162726008344924
75%,0.9486715745639196,0.7880221429241343,0.8033850493653032
max,1.0,0.9766031195840554,0.9478553406223718
