value,precision,recall,f1
count,23.0,23.0,23.0
mean,0.8138560227290567,0.3124223955503741,0.3902885196774587
std,0.2784781358992932,0.2396969604049024,0.2371285362202699
min,0.0,0.0,0.0
25%,0.7379270303972087,0.1702227988453642,0.2474968613205422
50%,0.9583333333333334,0.264367816091954,0.3752324284120491
75%,0.9915194730969163,0.4040673211781206,0.4658741207109175
max,1.0,0.9077123050259964,0.9116623150565708
