,precision,recall,f1
count,22.0,22.0,22.0
mean,0.8508494783076501,0.32662341352993646,0.40802890693552507
std,0.21970029536688626,0.2352260769581774,0.2265486115296036
min,0.0833333333333333,0.0409556313993174,0.0786885245901639
25%,0.7648970866119,0.1817880920715293,0.2845641662225572
50%,0.9583333333333334,0.2684833430742256,0.38688853438514575
75%,0.9928040715238278,0.4278401122019635,0.47729636218602495
max,1.0,0.9077123050259964,0.9116623150565708
