,precision,recall,f1
count,22.0,22.0,22.0
mean,0.7930603656131765,0.8253362541566426,0.7823445843356281
std,0.22244584788503144,0.10710505737280508,0.16110062761085328
min,0.11264367816091954,0.6611785095320624,0.19718309859154928
25%,0.7191647307461172,0.7601842602306301,0.7883103243397378
50%,0.8491887706408802,0.819087278394701,0.8221199685671878
75%,0.949233570610305,0.9118411141974416,0.8701922555780968
max,1.0,0.9909012131715771,0.9551054499895594
