,precision,recall,f1
count,22.0,22.0,22.0
mean,0.7915627626587219,0.7835155907138828,0.758414983239285
std,0.2240971955562879,0.12329306331832038,0.1584402406430932
min,0.1100702576112412,0.597709049255441,0.1922290388548057
25%,0.7162715088247003,0.6977864647761935,0.7431265267342554
50%,0.846862482118337,0.7670014647415777,0.7820497005024364
75%,0.9486000473077405,0.8684648977759559,0.8445107246812755
max,1.0,0.9857019064124783,0.9524806363826668
