value,precision,recall,f1
count,23.0,23.0,23.0
mean,0.7571469903692123,0.7494496954654533,0.7254404187506204
std,0.2741880557055891,0.2029812227728194,0.2212931406306328
min,0.0,0.0,0.0
25%,0.6933679098577845,0.6601296750773771,0.7324499064263865
50%,0.8208655973451328,0.7661016949152543,0.7736858671702864
75%,0.9437445233884008,0.8683894510369525,0.8436215125936606
max,1.0,0.9857019064124783,0.9524806363826668
