,precision,recall,f1
count,21.0,21.0,21.0
mean,0.9842428124748837,0.5416496014446717,0.6536350970741284
std,0.05660033583614071,0.2769855035276507,0.24811622364511665
min,0.7424892703862661,0.09698996655518395,0.17682926829268295
25%,1.0,0.26417370325693607,0.4179389312977099
50%,1.0,0.5130023640661938,0.678125
75%,1.0,0.7672820953198798,0.8552631578947367
max,1.0,0.9761698440207972,0.9879412409559306
