,precision,recall,f1-score,support
False,0.15083009537265984,1.0,0.26212400245549416,427.0
True,1.0,0.32090395480225986,0.485885372112917,3540.0
accuracy,0.39400050415931437,0.39400050415931437,0.39400050415931437,0.39400050415931437
macro avg,0.5754150476863299,0.6604519774011299,0.37400468728420555,3967.0
weighted avg,0.9085970382465656,0.39400050415931437,0.46180014275982406,3967.0
