,precision,recall,f1-score,support
False,0.7376425855513308,1.0,0.8490153172866521,194.0
True,1.0,0.970103986135182,0.9848251594457885,2308.0
accuracy,0.9724220623501199,0.9724220623501199,0.9724220623501199,0.9724220623501199
macro avg,0.8688212927756653,0.985051993067591,0.9169202383662203,2502.0
weighted avg,0.9796573387677691,0.9724220623501199,0.9742947400297722,2502.0
