,precision,recall,f1
count,21.0,21.0,21.0
mean,0.9962146292022893,0.24092649297181945,0.35672371778919243
std,0.014109007362510521,0.19300366874033814,0.2181102931738341
min,0.9354838709677419,0.006688963210702341,0.013289036544850499
25%,1.0,0.18608549874266556,0.3137809187279152
50%,1.0,0.231859167024474,0.3760445682451254
75%,1.0,0.30518518518518517,0.4676503972758229
max,1.0,0.9150779896013865,0.9556561085972851
