,precision,recall,f1
count,27.0,27.0,27.0
mean,0.9148913832676394,0.4702969815692344,0.4978743610346379
std,0.26830767754943147,0.3389159505308966,0.3132529732860071
min,0.0,0.020066889632107024,0.0
25%,1.0,0.25196234164512127,0.313663216596835
50%,1.0,0.3643122676579926,0.5235144002916514
75%,1.0,0.7480784770076022,0.6019593380361022
max,1.0,1.0,1.0
