,precision,recall,f1
count,27.0,27.0,27.0
mean,0.9229817486388178,0.4096094945336373,0.4255999286508534
std,0.2663227721635536,0.363418971603107,0.32421959243236426
min,0.0,0.006688963210702341,0.0
25%,1.0,0.18948604473674774,0.26315581562931384
50%,1.0,0.27873563218390807,0.3836824696802646
75%,1.0,0.661735212294783,0.5006635400382143
max,1.0,1.0,1.0
