,precision,recall,f1
count,21.0,21.0,21.0
mean,0.9828380334105042,0.37401016586379804,0.5071825577130189
std,0.06641559818766338,0.21416825871229458,0.2291776837203509
min,0.6954545454545454,0.03121516164994426,0.06054054054054054
25%,1.0,0.24246079613992763,0.39029126213592236
50%,1.0,0.42441054091539526,0.5535168195718654
75%,1.0,0.4751552795031056,0.6425871482570349
max,1.0,0.9523396880415944,0.9755881047492232
