,precision,recall,f1-score
mean_true_class,0.7765145309449107,0.24088013569498198,0.2944663816535205
mean_false_class,0.397732008871794,0.9911577034064257,0.47956360836974626
mean_weighted,0.9100524422103459,0.48903891476094025,0.490454389705556
