,precision,recall,f1-score,support
False,0.6679946879150066,1.0,0.8009554140127388,503.0
True,1.0,0.28160919540229884,0.43946188340807174,348.0
accuracy,0.7062279670975323,0.7062279670975323,0.7062279670975323,0.7062279670975323
macro avg,0.8339973439575032,0.6408045977011494,0.6202086487104053,851.0
weighted avg,0.8037618425631591,0.7062279670975323,0.6531296224141205,851.0
